Amount,Payment_Method,Merchant_Category,Is_International,Device_Type,Account_Age_Months,Previous_Fraud,Fraud
1407.8,Wallet,Shopping,0,Desktop,29,1,0
607.95,Wallet,Bills,0,Desktop,8,0,0
2738.83,Wallet,Food,0,Desktop,39,1,1
1770.87,Debit Card,Shopping,1,Desktop,23,1,1
179.52,Credit Card,Food,0,Mobile,24,1,1
1218.08,Net Banking,Food,0,Desktop,40,1,0
3693.75,Wallet,Bills,1,Desktop,22,1,1
174.2,Net Banking,Travel,1,Desktop,24,0,1
5359.29,UPI,Shopping,1,Mobile,38,0,0
2.34,Wallet,Bills,0,Mobile,21,1,1
2882.93,Credit Card,Food,0,Desktop,58,1,1
2231.78,Credit Card,Travel,1,Mobile,44,0,1
70.0,Debit Card,Electronics,0,Mobile,27,0,0
2839.11,Debit Card,Bills,0,Mobile,42,1,0
143.37,Wallet,Shopping,0,Mobile,16,0,0
794.91,Debit Card,Shopping,1,Mobile,47,1,1
2890.04,UPI,Food,0,Desktop,44,0,0
2166.09,Net Banking,Bills,1,Desktop,57,0,1
142.69,Credit Card,Travel,1,Mobile,51,0,0
3421.19,Debit Card,Bills,0,Mobile,9,0,0
201.79,Credit Card,Travel,1,Mobile,4,1,1
8552.39,UPI,Bills,1,Desktop,14,1,0
4956.99,UPI,Electronics,0,Desktop,9,0,0
48.29,UPI,Travel,1,Mobile,2,1,1
3458.25,UPI,Electronics,1,Desktop,47,0,0
3449.06,Debit Card,Food,1,Mobile,44,1,1
2050.64,Credit Card,Electronics,0,Desktop,47,1,0
571.17,Credit Card,Bills,1,Desktop,17,1,0
898.37,Wallet,Shopping,0,Desktop,40,1,1
4223.92,Credit Card,Bills,0,Desktop,6,1,0
699.36,Net Banking,Food,1,Mobile,4,0,0
613.17,Debit Card,Food,1,Desktop,18,0,0
4476.74,Net Banking,Food,0,Desktop,34,0,0
1508.33,Credit Card,Electronics,1,Mobile,36,1,1
2733.16,Credit Card,Bills,1,Mobile,48,0,1
1185.98,Wallet,Food,1,Desktop,14,1,1
654.4,UPI,Bills,1,Desktop,57,1,1
9745.84,Credit Card,Travel,0,Mobile,21,1,1
1476.39,Debit Card,Bills,0,Mobile,18,0,0
2327.58,Net Banking,Travel,0,Desktop,24,0,0
1323.68,Net Banking,Shopping,0,Desktop,45,0,0
455.69,Credit Card,Food,1,Desktop,15,0,0
541.93,Credit Card,Shopping,0,Desktop,25,0,0
13002.44,Credit Card,Food,1,Desktop,24,0,0
1506.99,Debit Card,Electronics,0,Mobile,8,1,0
16.61,Credit Card,Electronics,1,Desktop,11,0,1
665.09,UPI,Electronics,1,Desktop,8,1,1
3916.99,Debit Card,Food,1,Desktop,33,0,0
2793.91,UPI,Electronics,1,Mobile,42,0,1
1331.68,Debit Card,Electronics,1,Mobile,41,1,0
7393.89,Wallet,Travel,0,Desktop,9,0,0
2928.9,Wallet,Bills,0,Mobile,34,0,0
300.82,Net Banking,Bills,1,Desktop,55,1,0
1117.47,Debit Card,Electronics,0,Desktop,24,1,1
3289.15,UPI,Shopping,0,Mobile,44,1,0
3044.67,Net Banking,Shopping,0,Desktop,27,0,0
2471.43,Net Banking,Bills,0,Desktop,35,0,0
382.12,Debit Card,Electronics,0,Mobile,14,0,0
5669.71,Debit Card,Electronics,0,Desktop,5,0,0
2471.66,Net Banking,Travel,1,Desktop,14,0,0
2042.44,Net Banking,Electronics,0,Desktop,9,0,0
3720.49,Credit Card,Shopping,0,Mobile,26,0,0
77.24,Debit Card,Travel,0,Desktop,13,1,0
675.88,Debit Card,Food,1,Mobile,32,0,0
3035.19,UPI,Food,1,Desktop,52,1,0
2485.36,Debit Card,Electronics,1,Mobile,4,0,0
7143.8,Net Banking,Travel,0,Mobile,23,1,0
2782.19,UPI,Food,1,Mobile,15,0,1
4226.25,Net Banking,Shopping,0,Mobile,36,1,1
8586.42,UPI,Shopping,0,Desktop,7,0,0
1026.42,Wallet,Bills,0,Desktop,22,1,0
6372.51,Net Banking,Food,1,Desktop,42,0,0
4952.66,Debit Card,Food,0,Desktop,57,0,0
334.45,Net Banking,Travel,0,Mobile,28,1,0
4883.91,UPI,Food,1,Desktop,44,0,0
1616.18,Credit Card,Shopping,1,Mobile,11,0,1
1176.22,Debit Card,Electronics,0,Desktop,55,0,0
